Time, Projected Occupancy,  num_parked_ios, num_parked_android, num_parked
02/17 05:07 PM,0 %,0,0,0
02/20 12:46 PM,7 %,1,0,1
02/20 02:28 PM,0 %,0,0,0
02/20 02:43 PM,7 %,1,0,1
02/20 05:33 PM,0 %,0,0,0
02/21 11:03 AM,7 %,1,0,1
02/21 06:24 PM,0 %,0,0,0
02/22 08:49 AM,7 %,1,0,1
02/22 10:47 AM,7 %,1,0,1
02/22 01:00 PM,13 %,2,0,2
02/22 01:27 PM,20 %,3,0,3
02/22 01:43 PM,27 %,4,0,4
02/22 01:52 PM,33 %,5,0,5
02/22 02:29 PM,27 %,4,0,4
02/22 02:42 PM,20 %,3,0,3
02/22 02:56 PM,27 %,4,0,4
02/22 03:50 PM,33 %,5,0,5
02/22 04:10 PM,27 %,4,0,4
02/22 04:12 PM,27 %,4,0,4
02/22 05:34 PM,27 %,4,0,4
02/22 06:12 PM,33 %,5,0,5
02/22 06:15 PM,27 %,4,0,4
02/22 06:31 PM,20 %,3,0,3
02/22 07:03 PM,13 %,2,0,2
02/22 09:31 PM,7 %,1,0,1
02/23 07:13 AM,13 %,2,0,2
02/23 07:18 AM,20 %,3,0,3
02/23 07:19 AM,27 %,4,0,4
02/23 08:21 AM,20 %,3,0,3
02/23 08:22 AM,27 %,4,0,4
02/23 08:25 AM,33 %,5,0,5
02/23 08:48 AM,40 %,6,0,6
02/23 10:25 AM,33 %,5,0,5
02/23 10:26 AM,40 %,6,0,6
02/23 11:03 AM,47 %,7,0,7
02/23 11:11 AM,53 %,8,0,8
02/23 11:33 AM,60 %,9,0,9
02/23 11:36 AM,53 %,8,0,8
02/23 11:51 AM,47 %,7,0,7
02/23 12:02 PM,53 %,8,0,8
02/23 12:44 PM,47 %,7,0,7
02/23 01:10 PM,40 %,6,0,6
02/23 01:34 PM,47 %,7,0,7
02/23 02:26 PM,40 %,6,0,6
02/23 02:27 PM,33 %,5,0,5
02/23 02:29 PM,40 %,6,0,6
02/23 02:34 PM,47 %,7,0,7
02/23 02:45 PM,53 %,8,0,8
02/23 02:49 PM,53 %,8,0,8
02/23 02:51 PM,60 %,9,0,9
02/23 03:09 PM,47 %,7,0,7
02/23 03:46 PM,40 %,6,0,6
02/23 04:00 PM,33 %,5,0,5
02/23 04:24 PM,27 %,4,0,4
02/23 04:34 PM,20 %,3,0,3
02/23 05:06 PM,20 %,3,0,3
02/23 05:07 PM,25 %,4,0,4
02/23 05:47 PM,19 %,3,0,3
02/23 06:13 PM,25 %,4,0,4
02/23 06:15 PM,19 %,3,0,3
